Index,Movie,Reco
1267,Raise the Titanic,"[""Can't Stop the Music"", 'Sheena', 'Asterix at the Olympic Games', 'Texas Rangers', 'Holy Man', '90 Minutes in Heaven']"
1268,Universal Soldier: The Return,"['Zoom', ""Happily N'Ever After"", 'Swept Away', 'Furry Vengeance', 'Soul Survivors', ""Devil's Due""]"
1269,Pandorum,"['Trouble with the Curve', ""Smokin' Aces"", 'If I Stay', 'Deliver Us from Evil', 'The Spectacular Now', ""Legend of the Guardians: The Owls of Ga'Hoole""]"
1270,Impostor,"['Twilight Zone: The Movie', 'Our Brand Is Crisis', 'Because of Winn-Dixie', 'The Object of My Affection', 'The Prince and Me', ""My Best Friend's Girl""]"
1271,Extreme Ops,"['Highlander: The Final Dimension', 'Johnson Family Vacation', 'Black Nativity', 'Agent Cody Banks 2: Destination London', 'Undiscovered', 'The Veil']"
1272,Just Visiting,"['Head Over Heels', 'Woman on Top', 'Paparazzi', 'The Crocodile Hunter: Collision Course', 'The Oh in Ohio', 'Fun Size']"
1273,Sunshine,"['The Descent', '1408', 'O Brother, Where Art Thou?', ""The Hitchhiker's Guide to the Galaxy"", 'The Wrestler', 'Pitch Black']"
1274,A Thousand Words,"['Laws of Attraction', 'Dickie Roberts: Former Child Star', 'Blood and Chocolate', 'And So It Goes', 'The Reef', 'Undisputed']"
1275,Delgo,"['Juwanna Mann', 'Code Name: The Cleaner', '3 Ninjas Kick Back', 'Exeter', 'The Wash', 'Decoys']"
1276,The Gunman,"['The Killer Inside Me', 'The Gambler', 'The Gambler', 'Lakeview Terrace', 'Inkheart', 'The Sentinel']"
1277,Alex Rider: Operation Stormbreaker,"['Bubble Boy', 'Survivor', 'Wolves', 'Gossip', 'The Island of Dr. Moreau', 'Get Over It']"
1278,Disturbia,"['Disturbia', 'School of Rock', 'Final Destination', 'Mean Girls', 'Identity', 'Gremlins']"
1279,Hackers,"['A Mighty Heart', 'Original Sin', 'Life or Something Like It', 'Pushing Tin', 'Beyond Borders', 'Sky Captain and the World of Tomorrow']"
1280,The Hunting Party,"['Renaissance', 'Copying Beethoven', 'Winter in Wartime', 'Ramona and Beezus', 'Snow Angels', 'Buffalo Soldiers']"
1281,The Hudsucker Proxy,"['The Spanish Prisoner', 'Bully', 'White Oleander', ""L'auberge espagnole"", 'Shine', '8 Women']"
1282,The Warlords,"[""Felicia's Journey"", 'Goal! The Dream Begins', 'Resurrecting the Champ', 'Black or White', 'Mystery, Alaska', 'Fifty Dead Men Walking']"
1283,Nomad: The Warrior,"['Home Run', 'The Other End of the Line', 'Lucky Break', 'Rapa Nui', 'The Land Girls', 'Flight of the Intruder']"
1284,Snowpiercer,"['The Secret Life of Walter Mitty', 'Sicario', 'Melancholia', 'Warcraft', 'Sinister', 'Room']"
1285,A Monster in Paris,"['Slums of Beverly Hills', 'Mambo Italiano', 'Lonesome Jim', 'High Anxiety', 'Incident at Loch Ness', 'Six-String Samurai']"
1286,The Last Shot,"['Slow Burn', 'The Ice Pirates', 'The Good Guy', 'Never Back Down 2: The Beatdown', 'Love Stinks', 'Malone']"
1287,The Crow,"['Young Frankenstein', 'Bad Santa', 'Office Space', 'Airplane!', 'The Queen', ""The Devil's Rejects""]"
1288,Baahubali: The Beginning,"['The Bridge on the River Kwai', 'Barry Lyndon', 'The Best Years of Our Lives', 'Patton', 'The Great Escape', 'My Fair Lady']"
1289,The Time Traveler's Wife,"['Safe Haven', 'Act of Valor', 'The Gift', 'The Gift', 'The Kingdom', 'Get Him to the Greek']"
1290,Because I Said So,"['Good Luck Chuck', 'Angel Eyes', 'Mickey Blue Eyes', 'Blue Crush', 'A Cinderella Story', 'The Texas Chainsaw Massacre 2']"
1291,The Fast and the Furious,"['The Fast and the Furious', 'Unbreakable', 'Austin Powers: The Spy Who Shagged Me', 'The Croods', 'Hancock', 'The Fifth Element']"
1292,Frankenweenie,"['Big Eyes', 'Beetlejuice', 'Mars Attacks!', 'Batman Returns', 'Planet of the Apes', 'Planet of the Apes']"
1293,Serenity,"['Apocalypto', 'Kill Bill: Vol. 2', '28 Days Later...', 'The Hurt Locker', 'Crouching Tiger, Hidden Dragon', 'Psycho']"
1294,Against the Ropes,"['The Tempest', 'Strangerland', 'Sublime', 'Good Deeds', 'The Promise', 'Holy Man']"
1295,Superman III,"[""Get Rich or Die Tryin'"", 'Miss Congeniality 2: Armed and Fabulous', 'Enough', 'Stealth', 'Drumline', 'Species']"
1296,Grudge Match,"['Righteous Kill', ""New Year's Eve"", 'Cop Land', 'Dirty Grandpa', 'Red Lights', '15 Minutes']"
1297,Red Cliff,"['The Messenger: The Story of Joan of Arc', 'The Postman', 'Son of God', 'Kabhi Alvida Naa Kehna', 'Anna and the King', 'Waterworld']"
1298,Sweet Home Alabama,"['Double Jeopardy', 'Starsky & Hutch', 'The Fast and the Furious: Tokyo Drift', 'Star Trek: Insurrection', 'Entrapment', 'Rio 2']"
1299,The Ugly Truth,"['London Has Fallen', 'Lara Croft Tomb Raider: The Cradle of Life', 'Gods of Egypt', 'The Bounty Hunter', 'Gamer', 'P.S. I Love You']"
1300,Sgt. Bilko,"['All About the Benjamins', ""Moms' Night Out"", 'Maximum Risk', 'Bandidas', 'Simply Irresistible', 'Battle for the Planet of the Apes']"
1301,Spy Kids 2: Island of Lost Dreams,"['Spy Kids', 'The Adventures of Sharkboy and Lavagirl 3-D', 'Spy Kids: All the Time in the World in 4D', 'Shorts', 'El Mariachi', 'Desperado']"
1302,Star Trek: Generations,"['Moonraker', 'Derailed', 'The American President', 'Think Like a Man', 'Diamonds Are Forever', 'Shanghai Noon']"
1303,The Grandmaster,"['The Second Best Exotic Marigold Hotel', 'Repo Men', 'Whip It', 'The Water Diviner', '3 Days to Kill', 'Beautiful Creatures']"
1304,Water for Elephants,"['August: Osage County', 'Let Me In', 'Galaxy Quest', 'Friends with Benefits', 'Legend', 'Riddick']"
1305,The Hurricane,"['Glory', 'Glory', 'The Great Debaters', 'Philadelphia', 'Crimson Tide', 'The Pelican Brief']"
1306,Enough,"['The Art of War', 'Drumline', 'Species', 'The Relic', 'Dragonfly', 'Divine Secrets of the Ya-Ya Sisterhood']"
1307,Heartbreakers,"['Never Say Never Again', 'The Sisterhood of the Traveling Pants', 'The American President', 'Red Tails', 'Think Like a Man', 'The Best Man Holiday']"
1308,Paul Blart: Mall Cop 2,"['Are We There Yet?', 'Littleman', 'Hannah Montana: The Movie', 'The Animal', 'Boogeyman', 'Superhero Movie']"
1309,Angel Eyes,"['Mickey Blue Eyes', 'Employee of the Month', 'Just My Luck', 'Blue Crush', 'Babe: Pig in the City', 'Saving Silverman']"
1310,Joe Somebody,"['Serving Sara', 'Alex & Emma', 'The Perfect Man', ""What's the Worst That Could Happen?"", 'Mr 3000', 'Tomcats']"
1311,The Ninth Gate,"['From Hell', 'Blow', 'Fear and Loathing in Las Vegas', 'Donnie Brasco', 'Secret Window', 'Finding Neverland']"
1312,Extreme Measures,"['The Astronaut Farmer', 'Autumn in New York', 'New in Town', 'The Jackal', 'Labor Day', 'Post Grad']"
1313,Rock Star,"['Antitrust', 'Charlie St. Cloud', 'Dragonfly', 'Willard', 'Deep Rising', 'Big Miracle']"
1314,Precious,"['Precious', 'A Serious Man', 'An Inconvenient Truth', 'The Way Way Back', 'Coraline', 'Kung Fu Hustle']"
1315,White Squall,"['G.I. Jane', 'Black Rain', 'A Good Year', 'The Counselor', 'Robin Hood', 'Black Hawk Down']"
1316,The Thing,"['Hot Fuzz', 'Shaun of the Dead', 'In Bruges', 'The Wrestler', 'The Mist', 'Halloween']"
1317,Riddick,"['Let Me In', 'Need for Speed', 'The Mortal Instruments: City of Bones', 'Friends with Benefits', 'Wild', 'The Road']"
1318,Switchback,"['Harlock: Space Pirate', 'Jindabyne', 'Passchendaele', 'One Night with the King', '1911', 'Mad City']"
1319,Texas Rangers,"['The Young Messiah', 'Meteor', 'I Hope They Serve Beer in Hell', 'Sheena', 'Asterix at the Olympic Games', 'Raise the Titanic']"
1320,City of Ember,"['Get Low', 'The Man Who Knew Too Little', 'Little Shop of Horrors', 'Space Jam', 'Kingpin', 'Wild Things']"
1321,The Master,"['The Conjuring 2', 'Unbroken', 'Everest', 'In Bruges', 'A Separation', 'Nebraska']"
1322,Virgin Territory,"['The Pallbearer', 'Decoys', 'Train', 'House Party 2', 'Modern Problems', 'College']"
1323,The Express,"['Little White Lies', 'The House of Mirth', 'Race', 'Capricorn One', 'The 33', 'Silverado']"
1324,The 5th Wave,"[""What to Expect When You're Expecting"", 'The Last Witch Hunter', 'Max Payne', 'The Fourth Kind', 'Turbo', 'TMNT']"
1325,Creed,"['Escape Plan', 'Rocky Balboa', 'Rocky', 'First Blood', 'First Blood', 'Rambo: First Blood Part II']"
1326,The Town,"['The Hurt Locker', 'Love Actually', 'The Bourne Legacy', 'The Pursuit of Happyness', 'Oldboy', 'Walk the Line']"
1327,What to Expect When You're Expecting,"['The Losers', 'Straw Dogs', 'How to Be Single', 'The 5th Wave', 'The Fourth Kind', 'The Last Witch Hunter']"
1328,Burn After Reading,"['Megamind', 'Kung Fu Panda 3', 'Up in the Air', 'I Love You, Man', 'Thank You for Smoking', 'Contraband']"
1329,Nim's Island,"['Playing for Keeps', 'Dracula 2000', 'The Bounty Hunter', 'Gamer', 'Shattered', 'Coriolanus']"
1330,Rush,"['A Beautiful Mind', 'In the Heart of the Sea', 'Cinderella Man', 'Frost/Nixon', 'How the Grinch Stole Christmas', 'Ransom']"
1331,Magnolia,"['The Thin Red Line', 'Gone with the Wind', 'Amadeus', 'There Will Be Blood', 'The Pianist', 'Walk the Line']"
1332,Cop Out,"['Mercury Rising', 'Mercury Rising', 'Surrogates', 'The Kid', 'The Whole Nine Yards', ""Hart's War""]"
1333,How to Be Single,"['Risen', 'Step Up Revolution', 'This Is Where I Leave You', 'Untraceable', 'Johnny English Reborn', 'The Last Song']"
1334,Dolphin Tale,"['Kiss the Girls', 'Driving Miss Daisy', 'High Crimes', 'Nurse Betty', 'An Unfinished Life', 'Unleashed']"
1335,Twilight,"['Twilight', 'The Day After Tomorrow', 'The Twilight Saga: New Moon', 'Harry Potter and the Order of the Phoenix', 'The Hangover Part II', 'The Twilight Saga: Eclipse']"
1336,John Q,"['The Manchurian Candidate', 'The Bone Collector', 'Crimson Tide', 'Philadelphia', 'Glory', 'Glory']"
1337,Blue Streak,"['Flashdance', 'A Cinderella Story', 'Step Up 2: The Streets', 'Casper', 'The First Wives Club', ""Porky's""]"
1338,We're the Millers,"['The Maze Runner', 'Bridesmaids', 'The Descendants', 'Lone Survivor', 'The Bourne Legacy', 'The Pursuit of Happyness']"
1339,Obitaemyy ostrov,"['Brave New Girl', 'All Is Bright', 'Winnie Mandela', 'Speedway Junky', 'The R.M.', 'The Christmas Candle']"
1340,Breakdown,"['The Nativity Story', 'DragonHeart', 'Diary of a Wimpy Kid: Rodrick Rules', 'Charlie St. Cloud', 'Basic', 'Fever Pitch']"
1341,Never Say Never Again,"['Heartbreakers', 'The Saint', 'The American President', 'The Peacemaker', 'Think Like a Man', 'Divine Secrets of the Ya-Ya Sisterhood']"
1342,Hot Tub Time Machine,"['Bad Grandpa', 'Get Him to the Greek', 'Splice', 'The Call', 'Bad Santa', 'The Princess and the Frog']"
1343,Dolphin Tale 2,"['Hard Rain', 'An Unfinished Life', 'High Crimes', 'Dolphin Tale', 'Kiss the Girls', 'Nurse Betty']"
1344,Reindeer Games,"['The Yards', 'Mighty Joe Young', 'Æon Flux', 'Young Adult', 'Monster', 'Small Soldiers']"
1345,A Man Apart,"['The Tailor of Panama', 'Endless Love', ""Cirque du Freak: The Vampire's Assistant"", 'What a Girl Wants', 'Case 39', 'After the Sunset']"
1346,Aloha,"['Aloha', 'Alexander and the Terrible, Horrible, No Good, Very Bad Day', 'Zathura: A Space Adventure', 'The DUFF', 'House at the End of the Street', 'All Good Things']"
1347,Ghosts of Mississippi,"['Yentl', 'The Rose', 'Baby Boy', 'The White Countess', 'Mommie Dearest', 'Torn Curtain']"
1348,Snow Falling on Cedars,"['The 33', 'De-Lovely', 'Oliver Twist', 'The Four Feathers', 'Courageous', 'Selena']"
1349,The Rite,"['The Wolfman', 'Bobby', 'The Mask of Zorro', 'Hearts in Atlantis', 'Legends of the Fall', 'The Edge']"
1350,Gattaca,"['Dark City', 'United 93', 'A Walk to Remember', 'The Boondock Saints', 'Garden State', 'Chocolat']"
1351,Isn't She Great,"['The Brothers Solomon', 'Sorority Boys', 'Here on Earth', 'Action Jackson', 'Air Bud', ""Tim and Eric's Billion Dollar Movie""]"
1352,Space Chimps,"['An American Carol', 'The Apparition', 'Torque', 'Nurse 3D', 'Bats', 'Fat Albert']"
1353,Head of State,"[""What's the Worst That Could Happen?"", 'See Spot Run', 'Boys and Girls', 'Ri¢hie Ri¢h', 'Clockstoppers', 'Like Mike']"
1354,The Hangover,"['I Am Legend', 'Captain America: The First Avenger', 'Up', 'WALL·E', 'District 9', 'Slumdog Millionaire']"
1355,Ip Man 3,"['The Young and Prodigious T.S. Spivet', 'Trust', 'Sleep Tight', 'Me and Orson Welles', 'Adam', 'The Wackness']"
1356,Austin Powers: The Spy Who Shagged Me,"['The Fast and the Furious', 'The Fast and the Furious', 'Elf', 'The Croods', 'Mamma Mia!', 'G.I. Joe: The Rise of Cobra']"
1357,Batman,"['Planet of the Apes', 'Planet of the Apes', 'Batman Returns', 'Beetlejuice', 'Frankenweenie', 'Big Eyes']"
1358,There Be Dragons,"['Trust the Man', 'The Ghastly Love of Johnny X', 'Just Wright', 'Memoirs of an Invisible Man', 'The Extra Man', 'The Tempest']"
1359,Lethal Weapon 3,"['Lethal Weapon 4', 'The Omen', 'The Omen', 'Ladyhawke', 'Timeline', 'Radio Flyer']"
1360,The Blind Side,"['The Pursuit of Happyness', 'Tangled', 'Ratatouille', 'Bridesmaids', 'Wreck-It Ralph', ""We're the Millers""]"
1361,Spy Kids,"['The Faculty', 'The Adventures of Sharkboy and Lavagirl 3-D', 'El Mariachi', 'Spy Kids: All the Time in the World in 4D', 'Desperado', 'Machete Kills']"
1362,Horrible Bosses,"['Moon', 'L.A. Confidential', ""A Bug's Life"", 'The Usual Suspects', 'Pay It Forward', 'Margin Call']"
1363,True Grit,"['Elysium', 'The Bourne Ultimatum', 'The Bourne Supremacy', 'The Adjustment Bureau', 'The Bourne Identity', 'Jason Bourne']"
1364,The Devil Wears Prada,"['Julie & Julia', 'The Hours', 'The Iron Lady', ""It's Complicated"", 'Hope Springs', 'A Prairie Home Companion']"
1365,Star Trek: The Motion Picture,"['Star Trek IV: The Voyage Home', 'The X Files', 'The Producers', 'Rent', 'Star Trek II: The Wrath of Khan', 'Conan the Barbarian']"
1366,Identity Thief,"['Percy Jackson & the Olympians: The Lightning Thief', 'Where the Wild Things Are', 'Puss in Boots', 'Jack the Giant Slayer', 'Freddy vs. Jason', 'Jack Ryan: Shadow Recruit']"
1367,Cape Fear,"['Raging Bull', 'Mean Streets', 'New York, New York', 'Casino', 'Taxi Driver', 'Goodfellas']"
1368,21,"['K-PAX', 'Pay It Forward', 'Horrible Bosses 2', 'The Life of David Gale', ""A Bug's Life"", 'The Negotiator']"
1369,Trainwreck,"['The Scorch Trials', 'Need for Speed', 'The Heat', 'Predators', 'Rock of Ages', '1408']"
1370,Guess Who,"['Shall We Dance', 'Barbershop', 'Parental Guidance', 'Step Up 2: The Streets', 'The First Wives Club', 'Good Luck Chuck']"
1371,The English Patient,"['The Insider', 'Enemy of the State', 'The Godfather: Part III', 'The Blues Brothers', 'Boogie Nights', 'The Count of Monte Cristo']"
1372,L.A. Confidential,"['Horrible Bosses', 'Pay It Forward', 'The Usual Suspects', 'Moon', 'K-PAX', '21']"
1373,Sky High,"['The Purge: Election Year', 'Stigmata', 'Jersey Girl', 'No Reservations', 'Practical Magic', 'The Cable Guy']"
1374,In & Out,"['Diary of a Wimpy Kid', 'The Skulls', 'The Good Girl', 'Van Wilder: Party Liaison', 'The Boss', 'Not Another Teen Movie']"
1375,Species,"['Practical Magic', 'Dragonfly', 'Broken Arrow', 'Enough', 'Fever Pitch', 'DragonHeart']"
1376,A Nightmare on Elm Street,"['A Nightmare on Elm Street', 'Finding Neverland', 'Fear and Loathing in Las Vegas', 'Blow', 'From Hell', 'Secret Window']"
1377,The Cell,"['Underworld: Evolution', 'Scream 2', 'Alien: Resurrection', 'The League of Extraordinary Gentlemen', 'Scream 3', 'Flightplan']"
1378,The Man in the Iron Mask,"['The Beach', 'Romeo + Juliet', 'Revolutionary Road', ""Marvin's Room"", 'Blood Diamond', 'The Great Gatsby']"
1379,Secretariat,"['The Spy Who Loved Me', 'You Only Live Twice', 'For Your Eyes Only', 'The Living Daylights', 'Diamonds Are Forever', 'The Rookie']"
1380,TMNT,"['Neighbors 2: Sorority Rising', 'My Bloody Valentine', 'The Losers', 'Babylon A.D.', 'The Fourth Kind', 'Nanny McPhee']"
1381,Radio,"['Bulworth', 'Major League', 'Return to Me', 'Take the Lead', 'A Lot Like Love', 'Red Dawn']"
1382,Friends with Benefits,"['Kick-Ass 2', 'Riddick', 'The Road', 'American Reunion', 'Shame', '10 Cloverfield Lane']"
1383,Neighbors 2: Sorority Rising,"['The House Bunny', 'Babylon A.D.', 'The Eye', 'TMNT', 'The Tale of Despereaux', 'Brick Mansions']"
1384,Saving Mr. Banks,"['Extremely Loud & Incredibly Close', 'Road to Perdition', 'Toy Story 2', ""You've Got Mail"", 'Toy Story', 'Captain Phillips']"
1385,Malcolm X,"['He Got Game', 'Inside Man', ""Mo' Better Blues"", 'Miracle at St. Anna', 'Summer of Sam', 'Do the Right Thing']"
1386,This Is 40,"['The Internship', 'The Scorch Trials', '30 Days of Night', 'Poltergeist', 'Poltergeist', ""He's Just Not That Into You""]"
1387,Old Dogs,"['Flubber', 'License to Wed', 'The Night Listener', 'The Big Wedding', 'Happy Feet 2', 'Death to Smoochy']"
1388,Underworld: Rise of the Lycans,"['From Paris with Love', 'Cellular', 'Changing Lanes', 'Ninja Assassin', 'Jersey Girl', ""She's Out of My League""]"
1389,License to Wed,"['Old Dogs', 'Flubber', 'The Night Listener', 'Happy Feet 2', 'The Big Wedding', 'Death to Smoochy']"
1390,The Benchwarmers,"['A Haunted House', 'All About Steve', 'The Rugrats Movie', 'Scooby-Doo 2: Monsters Unleashed', 'Jimmy Neutron: Boy Genius', 'Down to Earth']"
1391,Must Love Dogs,"['Made of Honor', 'Cradle 2 the Grave', 'Drillbit Taylor', 'Bedazzled', 'Exit Wounds', 'Urban Legend']"
1392,Donnie Brasco,"['Blow', 'The Ninth Gate', 'Fear and Loathing in Las Vegas', 'From Hell', ""What's Eating Gilbert Grape"", 'Finding Neverland']"
1393,Resident Evil,"['American Pie', '28 Weeks Later', 'Saw II', 'Closer', 'Napoleon Dynamite', 'Panic Room']"
1394,Poltergeist,"['Poltergeist', 'Shooter', 'Dark City', 'United 93', '30 Days of Night', 'Blade']"
1395,The Ladykillers,"['The Mexican', 'Contraband', ""Jennifer's Body"", 'I Love You, Man', 'Labor Day', 'The Jackal']"
1396,Max Payne,"['The 5th Wave', 'Resident Evil: Extinction', 'The Fourth Kind', 'Turbo', 'My Bloody Valentine', 'Atlantis: The Lost Empire']"
1397,In Time,"['Gangster Squad', 'Zombieland', '500 Days of Summer', '50/50', 'Tinker Tailor Soldier Spy', 'The Place Beyond the Pines']"
1398,The Back-up Plan,"['Bulletproof Monk', 'Exit Wounds', 'Drillbit Taylor', 'Whiteout', 'The Guilt Trip', 'Cursed']"
1399,Something Borrowed,"['Step Up 3D', 'Leatherheads', 'Sabotage', 'Sabotage', 'Intolerable Cruelty', 'The Invasion']"
1400,Black Knight,"['Unfinished Business', 'The Ghost and the Darkness', 'The Full Monty', 'Oscar and Lucinda', 'The Debt', 'The Exorcism of Emily Rose']"
1401,The Bad News Bears,"['Summer Storm', 'Dinner Rush', 'Saint Ralph', 'The Mighty', 'Duma', 'Exotica']"
1402,Street Fighter,"['Dragon Wars: D-War', 'Wing Commander', 'Urban Legends: Final Cut', 'xXx: State of the Union', 'Feardotcom', 'Kangaroo Jack']"
1403,The Pianist,"['City of God', 'The Good, the Bad and the Ugly', 'Spirited Away', 'Scarface', 'Kill Bill: Vol. 2', 'Apocalypto']"
1404,The Nativity Story,"['Shopgirl', 'Delivery Man', 'Breakdown', 'Run, Fatboy, Run', 'Charlie St. Cloud', 'The Thirteenth Floor']"
1405,House of Wax,"['House of Wax', 'The Time Machine', 'Halloween II', 'Saw IV', 'Final Destination 2', 'Hitman']"
1406,Closer,"['Galaxy Quest', 'Resident Evil', 'Easy A', 'Eastern Promises', '28 Weeks Later', '10 Things I Hate About You']"
1407,J. Edgar,"['Unforgiven', 'Flags of Our Fathers', 'Million Dollar Baby', 'The Bridges of Madison County', 'Space Cowboys', 'Jersey Boys']"
1408,Mirrors,"['Doomsday', 'The Forbidden Kingdom', 'Letters to Juliet', 'Broken City', 'Be Kind Rewind', 'Repo Men']"
1409,Queen of the Damned,"['White Noise', 'Dark Water', 'Coyote Ugly', 'Legion', 'Premonition', 'The Cable Guy']"
1410,Predator 2,"['The Running Man', 'Babe', 'Jackass: The Movie', 'Jackass Number Two', 'Clueless', 'Pet Sematary']"
1411,Untraceable,"['No Reservations', 'Jersey Girl', 'The Switch', 'The Sentinel', 'The Gambler', 'The Gambler']"
1412,Blast from the Past,"['Road House', 'The Sisterhood of the Traveling Pants', 'Never Back Down', 'Flight of the Phoenix', 'Dressed to Kill', 'The Best Man Holiday']"
1413,Flash Gordon,"['Transsiberian', 'The November Man', 'Automata', 'Coco Before Chanel', 'Project Almanac', 'The Quiet American']"
1414,Jersey Girl,"['Untraceable', 'No Reservations', 'Stigmata', ""She's Out of My League"", 'Cellular', 'Basic']"
1415,Alex Cross,"['Sinister 2', 'Abduction', 'The Lords of Salem', 'One for the Money', 'The Innkeepers', 'Silent Hill: Revelation 3D']"
1416,Midnight in the Garden of Good and Evil,"['The Bridges of Madison County', 'Unforgiven', 'Pale Rider', 'High Plains Drifter', 'Letters from Iwo Jima', 'Flags of Our Fathers']"
1417,Heist,"['Heist', ""We're No Angels"", 'The Bridge of San Luis Rey', 'The Fan', 'Godsend', 'Stone']"
1418,Nanny McPhee Returns,"['The Corruptor', 'Georgia Rule', 'School for Scoundrels', 'Beyond the Valley of the Dolls', 'Joyful Noise', 'Rock Star']"
1419,Hoffa,"['For Greater Glory: The True Story of Cristiada', 'The Robe', 'Bodyguards and Assassins', 'Love in the Time of Cholera', 'Paa', 'Selena']"
1420,The X Files: I Want to Believe,"['The Box', 'Land of the Dead', 'Hall Pass', 'Daybreakers', 'The Crazies', 'Doomsday']"
1421,Ella Enchanted,"['Hoodwinked!', 'The Princess Diaries 2: Royal Engagement', 'Bride Wars', 'The Other Side of Heaven', 'Rachel Getting Married', 'The Princess Diaries']"
1422,Concussion,"['Pandorum', 'Woman in Gold', 'A Most Violent Year', 'Anonymous', 'The Imaginarium of Doctor Parnassus', 'Now You See Me 2']"
1423,Abduction,"['Alex Cross', 'Sinister 2', 'The Innkeepers', 'Legion', 'The Lords of Salem', 'Heaven Is for Real']"
1424,Valiant,"['The Borrowers', 'Animals United', ""Perrier's Bounty"", 'Little Voice', 'Superman IV: The Quest for Peace', 'Arthur Christmas']"
1425,Wonder Boys,"['The Soloist', 'Kiss Kiss Bang Bang', 'A Scanner Darkly', 'Charlie Bartlett', 'Fur: An Imaginary Portrait of Diane Arbus', 'Richard III']"
1426,Superhero Movie,"['Deuce Bigalow: European Gigolo', 'Jason Goes to Hell: The Final Friday', 'The Animal', 'One Missed Call', 'The Gallows', 'Paul Blart: Mall Cop 2']"
1427,Broken City,"['Mirrors', 'Be Kind Rewind', 'Doomsday', 'Letters to Juliet', 'Ninja Assassin', 'The Box']"
1428,Cursed,"['My Super Ex-Girlfriend', 'Darkness Falls', 'The Cave', 'The Back-up Plan', 'Halloween III: Season of the Witch', 'The Hills Have Eyes II']"
1429,Premium Rush,"['The Beaver', 'The Three Musketeers', 'Burnt', 'ParaNorman', 'The Last Witch Hunter', 'Bronson']"
1430,Hot Pursuit,"['The Hills Have Eyes II', 'The Roommate', 'The Cave', 'Black Christmas', 'The Darkest Hour', 'Valentine']"
1431,The Four Feathers,"['De-Lovely', 'Snow Falling on Cedars', 'Bride & Prejudice', 'The Upside of Anger', ""Logan's Run"", 'Running with Scissors']"
1432,Parker,"['Death Race', 'Safe', 'The Mechanic', 'Homefront', 'The Bank Job', 'Killer Elite']"
1433,Wimbledon,"['Small Soldiers', 'Anastasia', 'Drop Dead Gorgeous', 'Midnight Special', 'Bachelorette', 'Bring It On']"
1434,Furry Vengeance,"['The Adventures of Pluto Nash', 'Universal Soldier: The Return', 'Zoom', 'The Flintstones in Viva Rock Vegas', ""Devil's Due"", 'Swept Away']"
1435,Bait,"['Escape from Tomorrow', 'Hot Tub Time Machine 2', 'Donkey Punch', 'Alpha and Omega', 'The Spy Next Door', 'The Brown Bunny']"
1436,Krull,"['After.Life', 'Gun Shy', 'The Bounty', 'Rob Roy', 'Chloe', 'Kinsey']"
1437,Lions for Lambs,"['Hope Springs', 'A Prairie Home Companion', ""It's Complicated"", 'The River Wild', 'The Iron Lady', 'Florence Foster Jenkins']"
1438,Flight of the Intruder,"['I Dreamed of Africa', 'I Come with the Rain', 'Nomad: The Warrior', 'Atlas Shrugged II: The Strike', 'Home Run', 'Shalako']"
1439,Walk Hard: The Dewey Cox Story,"['Curse of the Golden Flower', 'Death Sentence', 'Diamonds Are Forever', 'Black Snake Moan', ""Logan's Run"", 'Dead Man Down']"
1440,The Shipping News,"['Beyond the Sea', 'Casino Jack', 'Outbreak', 'Glengarry Glen Ross', 'The Negotiator', 'The Life of David Gale']"
1441,American Outlaws,"['Katy Perry: Part of Me', 'Kingdom of the Spiders', 'Ice Princess', ""Baby's Day Out"", 'How to Deal', 'Novocaine']"
1442,The Young Victoria,"['The Quiet American', 'The Cooler', 'The Duchess', 'Micmacs', 'Albert Nobbs', 'The Jacket']"
1443,Whiteout,"['Bulletproof Monk', 'The Guilt Trip', 'MacGruber', 'The Stepfather', 'The Back-up Plan', 'Drillbit Taylor']"
1444,The Tree of Life,"['Fury', 'The Curious Case of Benjamin Button', 'Mr. & Mrs. Smith', 'Babel', 'Killing Them Softly', 'Interview with the Vampire: The Vampire Chronicles']"
1445,Knock Off,"['Red Sonja', 'Unaccompanied Minors', 'The Wild Thornberrys Movie', 'Agent Cody Banks 2: Destination London', ""Malibu's Most Wanted"", 'Lottery Ticket']"
1446,Sabotage,"['Sabotage', 'Sanctum', 'The Invasion', 'Step Up 3D', 'Somewhere', 'Something Borrowed']"
1447,The Order,"['All About Steve', 'Honey', 'The New Guy', 'Hot Tub Time Machine 2', 'I Love You, Beth Cooper', 'Josie and the Pussycats']"
1448,Punisher: War Zone,"['Inkheart', 'Going the Distance', 'Vampires', 'Fever Pitch', 'The Switch', 'The Gambler']"
1449,Zoom,"['Universal Soldier: The Return', 'The Country Bears', ""Happily N'Ever After"", 'Soul Survivors', 'The Haunting of Molly Hartley', 'Swept Away']"
1450,The Walk,"['Beowulf', 'Back to the Future Part II', 'Back to the Future Part III', 'A Christmas Carol', 'Back to the Future', 'Death Becomes Her']"
1451,Warriors of Virtue,"[""All the Queen's Men"", 'Shadow Conspiracy', 'The Lost Medallion: The Adventures of Billy Stone', 'The Legend of the Lone Ranger', 'The Veil', '2:13']"
1452,A Good Year,"['Black Rain', 'G.I. Jane', 'The Counselor', 'Robin Hood', 'Black Hawk Down', 'Alien']"
1453,Radio Flyer,"['Ladyhawke', 'The Omen', 'The Omen', 'Lethal Weapon 3', 'Timeline', 'Assassins']"
